MouseID,Generation,Born_Date,Test_Date,Age,BodyWeight,Forepaws_T1,Forepaws_T2,Forepaws_T3,AllPaws_T1,AllPaws_T2,AllPaws_T3
DO-AL-0049,G23_W2,6/21/16,4/28/17,44,35.95,139.976,153.08,151.293,192.988,133.424,193.584
DO-AL-0050,G23_W2,6/21/16,4/28/17,44,40.95,83.985,111.385,148.911,148.315,189.415,147.124
DO-AL-0051,G23_W2,6/21/16,4/28/17,44,43.7,75.646,152.485,100.664,245.405,214.432,239.449
DO-AL-0052,G23_W2,6/21/16,4/28/17,44,39.19,98.281,98.281,100.664,163.802,198.945,153.676
DO-AL-0053,G23_W2,6/21/16,4/28/17,44,25.83,103.642,133.424,111.981,241.236,159.037,251.957
DO-AL-0054,G23_W2,6/21/16,4/28/17,44,50.96,152.485,143.55,151.889,209.071,183.458,177.502
DO-AL-0055,G23_W2,6/21/16,4/28/17,44,45.34,139.38,148.315,134.02,245.405,218.601,224.558
DO-AL-0056,G23_W2,6/21/16,4/28/17,44,44.03,100.068,109.598,139.38,153.676,215.027,144.741
DO-AL-0057,G23_W2,6/21/16,4/28/17,44,30.55,103.642,95.898,135.211,190.606,215.027,213.24
DO-AL-0058,G23_W2,6/21/16,4/28/17,44,40.7,106.62,151.293,145.933,194.18,191.202,175.715
DO-AL-0059,G23_W2,6/21/16,4/28/17,44,26.52,152.485,141.763,94.111,137.593,178.693,176.31
DO-AL-0060,G23_W2,6/21/16,4/28/17,44,42.6,86.368,110.789,99.472,184.054,199.541,271.614
DO-AL-0061,G23_W2,6/21/16,4/28/17,44,32.59,87.559,140.572,101.855,159.632,193.584,128.063
DO-AL-0062,G23_W2,6/21/16,4/28/17,44,44.64,155.463,104.237,91.729,212.645,164.398,145.337
DO-AL-0063,G23_W2,6/21/16,4/28/17,44,45.64,145.933,125.681,103.642,196.562,172.141,304.97
DO-AL-0064,G23_W2,6/21/16,4/28/17,44,55.87,101.259,150.698,94.111,207.284,217.41,271.614
DO-20-1049,G23_W2,6/21/16,4/28/17,44,36.19,113.768,135.807,129.254,180.48,178.097,166.184
DO-20-1050,G23_W2,6/21/16,4/28/17,44,51.87,151.293,150.102,147.719,170.95,228.132,259.701
DO-20-1051,G23_W2,6/21/16,4/28/17,44,47.54,102.45,72.668,117.937,224.558,116.746,198.945
DO-20-1052,G23_W2,6/21/16,4/28/17,44,29.29,111.385,74.455,149.506,174.523,178.693,148.315
DO-20-1053,G23_W2,6/21/16,4/28/17,44,24.45,107.216,87.559,144.146,183.458,189.415,233.492
DO-20-1054,G23_W2,6/21/16,4/28/17,44,37.08,106.62,125.681,148.315,157.25,143.55,163.802
DO-20-1056,G23_W2,6/21/16,4/28/17,44,40.22,132.233,153.676,112.576,185.841,268.04,241.236
DO-20-1057,G23_W2,6/21/16,4/28/17,44,28.16,127.468,69.69,68.499,180.48,149.506,100.068
DO-20-1058,G23_W2,6/21/16,4/28/17,44,31.69,139.976,60.16,94.111,224.558,243.023,221.579
DO-20-1059,G23_W2,6/21/16,4/28/17,44,47.59,64.925,83.985,86.368,197.754,135.211,212.645
DO-20-1060,G23_W2,6/21/16,4/28/17,44,33.8,152.485,104.833,104.237,184.054,153.08,231.705
DO-20-1062,G23_W2,6/21/16,4/28/17,44,34.86,150.698,148.911,119.724,210.858,239.449,199.541
DO-20-1063,G23_W2,6/21/16,4/28/17,44,38.27,70.286,113.768,79.22,263.87,189.415,220.388
DO-20-1064,G23_W2,6/21/16,4/28/17,44,30.03,151.293,108.407,116.15,144.146,151.293,156.654
DO-40-2049,G23_W2,6/21/16,4/28/17,44,25.28,147.124,145.933,121.511,157.845,187.628,159.632
DO-40-2050,G23_W2,6/21/16,4/28/17,44,26.48,107.216,150.698,92.92,243.618,235.279,240.044
DO-40-2051,G23_W2,6/21/16,4/28/17,44,26.99,92.324,125.085,92.92,230.514,198.349,126.872
DO-40-2052,G23_W2,6/21/16,4/28/17,44,22.95,109.598,77.433,92.324,144.741,159.037,191.797
DO-40-2053,G23_W2,6/21/16,4/28/17,44,34.24,131.637,166.184,142.954,225.749,287.1,179.884
DO-40-2054,G23_W2,6/21/16,4/28/17,44,27.84,108.407,126.872,289.483,190.606,283.527,208.475
DO-40-2055,G23_W2,6/21/16,4/28/17,44,24.28,150.102,102.45,151.889,190.606,161.419,187.032
