ID,Set No,Start date,End date,From cage,month,day,year
99,4,10/8/19,10/11/19,C00117819,10,8,2019
100,5,10/15/19,10/18/19,C00117818,10,15,2019
101,4,10/8/19,10/11/19,C00117000,10,8,2019
102,5,10/15/19,10/18/19,C00116431,10,15,2019
103,4,10/8/19,10/11/19,C00117549,10,8,2019
104,7,10/28/19,10/31/19,C00117548,10,28,2019
105,4,10/8/19,10/11/19,C00117817,10,8,2019
106,7,10/28/19,10/31/19,C00116533,10,28,2019
107,5,10/15/19,10/18/19,C00118366,10,15,2019
109,6,11/5/19,11/8/19,C00116435,11,5,2019
110,5,10/15/19,10/18/19,C00119076,10,15,2019
111,6,11/5/19,11/8/19,C00116436,11,5,2019
113,6,11/5/19,11/8/19,C00116998,11,5,2019
114,5,10/15/19,10/18/19,C00116998,10,15,2019
115,6,11/5/19,11/8/19,C00116437,11,5,2019
116,5,10/15/19,10/18/19,C00116437,10,15,2019
117,7,10/28/19,10/31/19,C00116437,10,28,2019
118,4,10/8/19,10/11/19,C00116426,10,8,2019
119,7,10/28/19,10/31/19,C00116426,10,28,2019
120,4,10/8/19,10/11/19,C00118365,10,8,2019
121,5,10/15/19,10/18/19,C00116430,10,15,2019
122,4,10/8/19,10/11/19,C00116430,10,8,2019
123,5,10/15/19,10/18/19,C00116430,10,15,2019
124,4,10/8/19,10/11/19,C00116430,10,8,2019
125,4,10/8/19,10/11/19,C00116430,10,8,2019
126,5,10/15/19,10/18/19,C00116427,10,15,2019
127,4,10/8/19,10/11/19,C00116427,10,,2019
128,5,10/15/19,10/18/19,C00116427,10,,2019
129,4,10/8/19,10/11/19,C00116427,10,,2019
130,7,10/28/19,10/31/19,C00116427,10,,2019
131,4,10/8/19,10/11/19,C00116434,10,,2019
132,7,10/28/19,10/31/19,C00116434,10,,2019
133,5,10/15/19,10/18/19,C00120847,10,,2019
134,6,11/5/19,11/8/19,C00121926,11,,2019
135,5,10/15/19,10/18/19,C00121927,10,,2019
136,6,11/5/19,11/8/19,temporary,11,,2019
137,6,11/5/19,11/8/19,C00116432,,,2019
138,5,10/15/19,10/18/19,C00116432,,,2019
139,6,11/5/19,11/8/19,C00116432,,,2019
140,5,10/15/19,10/18/19,C00116432,,,
141,7,10/28/19,10/31/19,C00116429,,,
142,4,10/8/19,10/11/19,C00116429,,,
143,7,10/28/19,10/31/19,C00116429,,,
144,4,10/8/19,10/11/19,C00116429,,,
145,5,10/15/19,10/18/19,C00116429,,,
146,4,10/8/19,10/11/19,C00116428,,,
147,5,10/15/19,10/18/19,C00120846,,,
148,4,10/8/19,10/11/19,C00116428,,,
149,4,10/8/19,10/11/19,C00116428,,,
150,7,10/28/19,10/31/19,C00116428,,,
151,4,10/8/19,10/11/19,C00120848,,,
152,7,10/28/19,10/31/19,C00116433,,,
153,4,10/8/19,10/11/19,C00120845,,,
154,5,10/15/19,10/18/19,C00116433,,,
155,4,10/8/19,10/11/19,C00116433,,,
156,5,10/15/19,10/18/19,C00116438,,,
157,5,10/15/19,10/18/19,C00116438,,,
158,6,11/5/19,11/8/19,C00116438,,,
159,5,10/15/19,10/18/19,C00116438,,,
160,6,11/5/19,11/8/19,C00116438,,,
161,6,11/5/19,11/8/19,C00116425,,,
162,5,10/15/19,10/18/19,C00116425,,,
163,6,11/5/19,11/8/19,C00116425,,,
164,5,10/15/19,10/18/19,C00116425,,,
165,7,10/28/19,10/31/19,C00116425,,,
166,4,10/8/19,10/11/19,C00116422,,,
167,7,10/28/19,10/31/19,C00116422,,,
168,4,10/8/19,10/11/19,C00116422,,,
169,5,10/15/19,10/18/19,C00116422,,,
170,4,10/8/19,10/11/19,C00116422,,,
171,5,10/15/19,10/18/19,Temporary,,,
172,4,10/8/19,10/11/19,Temporary,,,
173,4,10/8/19,10/11/19,Temporary,,,
174,6,11/5/19,11/8/19,C00116434,,,
175,4,10/8/19,10/11/19,C00116434,,,
176,6,11/5/19,11/8/19,C00116423,,,
177,5,10/15/19,10/18/19,C00116423,,,
178,7,10/28/19,10/31/19,C00116423,,,
179,5,10/15/19,10/18/19,C00116423,,,
180,7,10/28/19,10/31/19,C00116423,,,
181,6,11/5/19,11/8/19,C00116415,,,
182,7,10/28/19,10/31/19,C00116415,,,
183,6,11/5/19,11/8/19,C00116415,,,
184,7,10/28/19,10/31/19,C00116415,,,
185,7,10/28/19,10/31/19,C00116415,,,
186,6,11/5/19,11/8/19,C00116414,,,
187,7,10/28/19,10/31/19,C00116414,,,
188,6,11/5/19,11/8/19,C00116414,,,
189,7,10/28/19,10/31/19,C00116414,,,
190,5,10/15/19,10/18/19,C00116414,,,
191,7,10/28/19,10/31/19,C00116421,,,
192,5,10/15/19,10/18/19,C00116421,,,
193,6,11/5/19,11/8/19,C00116421,,,
194,4,10/8/19,10/11/19,C00116421,,,
195,6,11/5/19,11/8/19,C00116421,,,
196,4,10/8/19,10/11/19,C00116420,,,
197,4,10/8/19,10/11/19,C00116420,,,
198,6,11/5/19,11/8/19,C00116420,,,
199,4,10/8/19,10/11/19,C00116420,,,
200,6,11/5/19,11/8/19,C00116420,,,
201,5,10/15/19,10/18/19,C00116419,,,
202,6,11/5/19,11/8/19,C00116419,,,
203,5,10/15/19,10/18/19,C00116419,,,
204,6,11/5/19,11/8/19,C00116419,,,
205,6,11/5/19,11/8/19,C00116419,,,
206,7,10/28/19,10/31/19,C00116416,,,
207,6,11/5/19,11/8/19,C00116416,,,
208,7,10/28/19,10/31/19,C00116416,,,
209,7,10/28/19,10/31/19,C00116416,,,
210,6,11/5/19,11/8/19,C00116416,,,
211,7,10/28/19,10/31/19,C00116417,,,
212,6,11/5/19,11/8/19,C00116417,,,
213,6,11/5/19,11/8/19,C00116417,,,
214,5,10/15/19,10/18/19,C00116417,,,
215,6,11/5/19,11/8/19,C00116417,,,
216,5,10/15/19,10/18/19,C00116418,,,
217,6,11/5/19,11/8/19,C00116418,,,
218,4,10/8/19,10/11/19,C00116418,,,
219,6,11/5/19,11/8/19,C00116418,,,
220,4,10/8/19,10/11/19,C00116418,,,
DO-1,1,11/12/19,11/14/19,C00106921,,,
DO-10,1,11/12/19,11/14/19,C00106922,,,
DO-11,2,9/24/19,9/27/19,C00106923,,,
DO-12,3,10/1/19,10/4/19,C00106924,,,
DO-13,1,11/12/19,11/14/19,C00106924,,,
DO-14,2,9/24/19,9/27/19,C00106924,,,
DO-15,3,10/1/19,10/4/19,C00106924,,,
DO-16,1,11/12/19,11/14/19,C00106924,,,
DO-17,2,9/24/19,9/27/19,C00106925,,,
DO-18,3,10/1/19,10/4/19,C00106925,,,
DO-19,1,11/12/19,11/14/19,C00106925,,,
DO-2,2,9/24/19,9/27/19,C00106921,,,
DO-20,2,9/24/19,9/27/19,C00106925,,,
DO-21,3,10/1/19,10/4/19,C00113116,,,
DO-22,1,11/12/19,11/14/19,C00106926,,,
DO-23,2,9/24/19,9/27/19,C00106926,,,
DO-24,3,10/1/19,10/4/19,C00106927,,,
DO-25,1,11/12/19,11/14/19,C00106927,,,
DO-27,2,9/24/19,9/27/19,C00106927,,,
DO-28,3,10/1/19,10/4/19,C00106927,,,
DO-29,1,11/12/19,11/14/19,C00110238,,,
DO-3,3,10/1/19,10/4/19,C00106921,,,
DO-31,2,9/24/19,9/27/19,C00109037,,,
DO-32,3,10/1/19,10/4/19,C00109173,,,
DO-33,1,11/12/19,11/14/19,C00106929,,,
DO-34,2,9/24/19,9/27/19,C00110237,,,
DO-35,3,10/1/19,10/4/19,C00106930,,,
DO-36,1,11/12/19,11/14/19,C00111525,,,
DO-38,2,9/24/19,9/27/19,C00106930,,,
DO-39,3,10/1/19,10/4/19,C00109033,,,
DO-4,1,11/12/19,11/14/19,C00106921,,,
DO-41,1,11/12/19,11/14/19,C00109033,,,
DO-42,2,9/24/19,9/27/19,C00109033,,,
DO-44,3,10/1/19,10/4/19,C00109034,,,
DO-45,1,11/12/19,11/14/19,C00109035,,,
DO-46,2,9/24/19,9/27/19,C00108438,,,
DO-47,3,10/1/19,10/4/19,C00109036,,,
DO-48,1,11/12/19,11/14/19,C00106928,,,
