lodcolumn,gene_symbol,gene_chr,gene_start,gene_middle,gene_end,qtl_chr,qtl_pos,qtl_mkr,qtl_lod,cis,,,,,,,,
ENSMUSG00000067973,Gm6994,14,77.479483,77.493176,77.506868,14,77.50828,UNC24297303,63.57718925,TRUE,,,,,,,,
ENSMUSG00000012405,Rpl15,14,18.267823,18.269607,18.271391,14,16.7076,JAX00373865,61.61227942,TRUE,,,,,,,,
ENSMUSG00000044285,Gm1821,14,46.084126,46.08447,46.084815,11,62.605495,UNC19765412,60.96639181,FALSE,,,,,,,,
ENSMUSG00000058126,Tpm3-rs7,14,113.314608,113.31566,113.316713,3,90.031448,backupUNC031252208,60.56993783,FALSE,,,,,,,,
ENSMUSG00000079391,Gm2974,14,4.182576,4.193736,4.204895,14,19.739565,UNC23655264,60.06970935,FALSE,,,,,,,,
ENSMUSG00000033186,Mzt1,14,99.034544,99.04034,99.046136,14,97.842301,backupJAX00387582,54.71085844,TRUE,,,,,,,,
ENSMUSG00000056234,Ncoa4,14,32.159865,32.16986,32.179855,14,32.047397,UNC23800695,53.88652493,TRUE,,,,,,,,
ENSMUSG00000097431,Gm26782,14,50.870364,50.874684,50.879003,14,49.974565,UNC23988528,53.38004972,TRUE,,,,,,,,
ENSMUSG00000071470,Ccnb1ip1,14,50.789249,50.792488,50.795728,14,49.638706,backupUNC140418896,52.6625539,TRUE,,,,,,,,
ENSMUSG00000095313,Gm6740,14,52.861767,52.862198,52.86263,10,67.424701,JAX00019074,51.58271336,FALSE,,,,,,,,
ENSMUSG00000096662,Gm6755,14,53.172727,53.173158,53.17359,10,67.424701,JAX00019074,51.58271336,FALSE,,,,,,,,
ENSMUSG00000021913,Ogdhl,14,32.322019,32.33492,32.34782,14,32.871689,UNC23811717,49.93681939,TRUE,,,,,,,,
ENSMUSG00000097284,4930480K23Rik,14,69.732784,69.749948,69.767113,14,69.611188,UNC24191682,49.06810835,TRUE,,,,,,,,
ENSMUSG00000072680,Tmem254c,14,26.063919,26.065637,26.067355,14,25.853671,UNC23729201,48.52506014,TRUE,,,,,,,,
ENSMUSG00000094800,Gm9780,14,26.027282,26.034996,26.042711,14,25.785749,JAX00375540,47.95248829,TRUE,,,,,,,,
ENSMUSG00000056296,Synpr,14,13.28478,13.45012,13.615459,14,14.108542,JAX00050270,47.70011992,TRUE,,,,,,,,
ENSMUSG00000021891,Mettl6,14,31.47832,31.486675,31.49503,14,31.306253,JAX00376552,46.06112777,TRUE,,,,,,,,
ENSMUSG00000093985,Gm10406,14,7.006115,7.016782,7.027449,14,19.739565,UNC23655264,45.9395661,FALSE,,,,,,,,
ENSMUSG00000060579,Fhit,14,9.550092,10.356064,11.162035,14,10.760938,JAX00372781,45.43014912,TRUE,,,,,,,,
ENSMUSG00000096793,Gm3002,14,3.810074,3.888296,3.966518,14,19.654149,UNC23654491,45.33763304,FALSE,,,,,,,,
ENSMUSG00000033405,Nudt15,14,73.519864,73.534053,73.548242,14,73.564988,UNC24241974,45.04761929,TRUE,,,,,,,,
ENSMUSG00000094825,Gm3194,14,5.438065,5.446766,5.455467,14,19.723119,UNC23655107,44.27455635,FALSE,,,,,,,,
ENSMUSG00000096629,Gm3383,14,5.60762,5.707801,5.807982,14,19.723119,UNC23655107,44.04758424,FALSE,,,,,,,,
ENSMUSG00000034795,Ccdc122,14,77.036772,77.074514,77.112257,14,77.143614,UNC24292276,43.00984495,TRUE,,,,,,,,
ENSMUSG00000021951,N6amt2,14,57.549598,57.560584,57.571569,14,57.75271,UNC24058857,42.74780083,TRUE,,,,,,,,
ENSMUSG00000022066,Gm21685,14,69.555424,69.570472,69.58552,14,69.550992,UNC24190679,42.44391968,TRUE,,,,,,,,
ENSMUSG00000062081,Gm6055,14,48.079136,48.079471,48.079806,8,121.539626,UNC15647294,41.84839635,FALSE,,,,,,,,
ENSMUSG00000022040,Ephx2,14,66.084377,66.104438,66.1245,14,65.344047,UNC140223024,41.74605455,TRUE,,,,,,,,
ENSMUSG00000057606,Colq,14,31.523082,31.557212,31.591343,14,31.545775,UNC23794044,39.44915941,TRUE,,,,,,,,
