lodcolumn,gene_id,gene_symbol,gene_chr,gene_start,gene_middle,gene_end,qtl_chr,qtl_pos,qtl_mkr,qtl_lod,cis,,,,,,,,
ENSMUSP00000022480,ENSMUSG00000021913,Ogdhl,14,32.322019,32.33492,32.34782,14,32.347623,UNC23804378,40.92328423,TRUE,,,,,,,,
ENSMUSP00000069209,ENSMUSG00000022040,Ephx2,14,66.084377,66.104438,66.1245,14,65.526866,UNC140223295,33.3525326,TRUE,,,,,,,,
ENSMUSP00000022573,ENSMUSG00000021996,Esd,14,74.732297,74.741531,74.750765,14,74.8126,UNC24259258,30.47568945,TRUE,,,,,,,,
ENSMUSP00000066035,ENSMUSG00000021814,Anxa7,14,20.455261,20.467697,20.480133,14,20.42989,UNC23664511,29.29097147,TRUE,,,,,,,,
ENSMUSP00000022419,ENSMUSG00000021868,Ppif,14,25.694154,25.697311,25.700468,14,25.707284,UNC23727335,23.0968002,TRUE,,,,,,,,
ENSMUSP00000022614,ENSMUSG00000022035,Ccdc25,14,65.837302,65.851953,65.866604,14,65.344047,UNC140223024,22.24120157,TRUE,,,,,,,,
ENSMUSP00000022322,ENSMUSG00000021794,Glud1,14,34.310727,34.327936,34.345144,14,37.122119,UNC23871307,21.53554184,TRUE,,,,,,,,
ENSMUSP00000022576,ENSMUSG00000021999,Cpb2,14,75.242287,75.262919,75.283551,14,75.382237,UNC24267920,20.82430667,TRUE,,,,,,,,
ENSMUSP00000043926,ENSMUSG00000021871,Pnp,14,50.944302,50.95477,50.965237,14,51.04788,UNC23998790,20.3823677,TRUE,,,,,,,,
ENSMUSP00000022518,ENSMUSG00000021951,N6amt2,14,57.549598,57.560584,57.571569,14,57.428604,UNC24055998,19.74791005,TRUE,,,,,,,,
ENSMUSP00000022462,ENSMUSG00000021906,Oxnad1,14,32.085374,32.094288,32.103202,14,31.691871,UNC23796164,18.35457648,TRUE,,,,,,,,
ENSMUSP00000136011,ENSMUSG00000060579,Fhit,14,9.550092,10.356064,11.162035,14,9.988745,JAX00372622,17.24195435,TRUE,,,,,,,,
ENSMUSP00000048925,ENSMUSG00000058997,Vwa8,14,78.849178,79.025744,79.20231,14,79.374804,UNC24319928,17.02263351,TRUE,,,,,,,,
ENSMUSP00000065754,ENSMUSG00000054733,Msra,14,64.122623,64.289263,64.455903,14,66.512503,UNC24150005,16.64525232,TRUE,,,,,,,,
